episode,total_reward,avg_reward_10,best_reward
1,176.0,176.0,176.0
2,308.0,242.0,242.0
3,308.0,264.0,264.0
4,440.0,308.0,308.0
5,308.0,308.0,308.0
6,440.0,330.0,330.0
7,352.0,333.14285714285717,333.14285714285717
8,396.0,341.0,341.0
9,264.0,332.44444444444446,341.0
10,616.0,360.8,360.8
11,220.0,365.2,365.2
12,528.0,387.2,387.2
13,308.0,387.2,387.2
14,660.0,409.2,409.2
15,528.0,431.2,431.2
16,220.0,409.2,431.2
17,308.0,404.8,431.2
18,176.0,382.8,431.2
19,396.0,396.0,431.2
20,264.0,360.8,431.2
21,528.0,391.6,431.2
22,176.0,356.4,431.2
23,176.0,343.2,431.2
24,528.0,330.0,431.2
25,176.0,294.8,431.2
26,528.0,325.6,431.2
27,220.0,316.8,431.2
28,220.0,321.2,431.2
29,308.0,312.4,431.2
30,352.0,321.2,431.2
31,528.0,321.2,431.2
32,176.0,321.2,431.2
33,616.0,365.2,431.2
34,264.0,338.8,431.2
35,308.0,352.0,431.2
36,308.0,330.0,431.2
37,528.0,360.8,431.2
38,264.0,365.2,431.2
39,708.0,405.2,431.2
40,308.0,400.8,431.2
41,708.0,418.8,431.2
42,484.0,449.6,449.6
43,484.0,436.4,449.6
44,660.0,476.0,476.0
45,308.0,476.0,476.0
46,528.0,498.0,498.0
47,572.0,502.4,502.4
48,528.0,528.8,528.8
49,660.0,524.0,528.8
50,484.0,541.6,541.6
51,660.0,536.8,541.6
52,352.0,523.6,541.6
53,440.0,519.2,541.6
54,660.0,519.2,541.6
55,660.0,554.4,554.4
56,352.0,536.8,554.4
57,440.0,523.6,554.4
58,660.0,536.8,554.4
59,132.0,484.0,554.4
60,484.0,484.0,554.4
61,396.0,457.6,554.4
62,132.0,435.6,554.4
63,352.0,426.8,554.4
64,528.0,413.6,554.4
65,220.0,369.6,554.4
66,660.0,400.4,554.4
67,528.0,409.2,554.4
68,660.0,409.2,554.4
69,220.0,418.0,554.4
70,220.0,391.6,554.4
71,220.0,374.0,554.4
72,220.0,382.8,554.4
73,572.0,404.8,554.4
74,176.0,369.6,554.4
75,308.0,378.4,554.4
76,352.0,347.6,554.4
77,396.0,334.4,554.4
78,264.0,294.8,554.4
79,176.0,290.4,554.4
80,132.0,281.6,554.4
81,352.0,294.8,554.4
82,264.0,299.2,554.4
83,484.0,290.4,554.4
84,264.0,299.2,554.4
85,308.0,299.2,554.4
86,264.0,290.4,554.4
87,484.0,299.2,554.4
88,264.0,299.2,554.4
89,396.0,321.2,554.4
90,572.0,365.2,554.4
91,220.0,352.0,554.4
92,528.0,378.4,554.4
93,264.0,356.4,554.4
94,176.0,347.6,554.4
95,220.0,338.8,554.4
96,352.0,347.6,554.4
97,220.0,321.2,554.4
98,88.0,303.6,554.4
99,308.0,294.8,554.4
100,176.0,255.2,554.4
